ENVO:00000446	terrestrial biome	A biome that applies to the terrestrial realm.
ENVO:01000174	    forest biome	A forest biome is a terrestrial biome which includes, across its entire spatial extent, densely packed vegetation which strongly limits light penetration to the forest floor.
ENVO:01000196	        coniferous forest biome	A coniferous forest biome is a forest biome which contains densely packed populations or communities of coniferous trees, strongly limiting light penetration to the forest floor.
ENVO:01000209	            subtropical coniferous forest biome	A coniferous forest biome which is subject to subtropical climate patterns.
ENVO:01000210	            tropical coniferous forest biome	A coniferous forest biome which is subject to tropical climate patterns.
ENVO:01000211	            temperate coniferous forest biome	A coniferous forest biome which is subject to temperate climate patterns.
ENVO:01000250	            subpolar coniferous forest biome	A  coniferous forest biome which includes communities adapted to subpolar conditions.
ENVO:01000197	        broadleaf forest biome	A broadleaf forest biome is a forest biome which contains densely packed populations or communities of broadleaf trees, strongly limiting light penetration to the forest floor.
ENVO:01000200	            tropical broadleaf forest biome	A broadleaf forest biome which is subject to tropical climate patterns.
ENVO:01000227	                tropical dry broadleaf forest biome	tropical dry broadleaf forest biome
ENVO:01000228	                tropical moist broadleaf forest biome	tropical moist broadleaf forest biome
ENVO:01000201	            subtropical broadleaf forest biome	A broadleaf forest biome which is subject to subtropical climate patterns.
ENVO:01000225	                subtropical dry broadleaf forest biome	subtropical dry broadleaf forest biome
ENVO:01000226	                subtropical moist broadleaf forest biome	subtropical moist broadleaf forest biome
ENVO:01000202	            temperate broadleaf forest biome	A broadleaf forest which is subject to temperate climate patterns.
ENVO:01000198	        mixed forest biome	A mixed forest biome is a forest biome which contains densely packed populations or communities of broadleaf and coniferous trees, strongly limiting light penetration to the forest floor.
ENVO:01000212	            temperate mixed forest biome	A mixed forest biome which is subject to temperate climate patterns.
ENVO:01000199	        mediterranean forest biome	A mediterranean forest biome is a forest biome which includes communities adapted to hot to warm, dry summers, mild to cold, rainy winters, and the influence of large, usually marine, bodies of water.
ENVO:01000175	    woodland biome	A woodland biome is a terrestrial biome which includes, across its entire spatial extent, woody plants spaced sufficiently far apart to allow light penetration to support communities of herbaceous plants or shrubs living closer to the woodland floor.
ENVO:01000178	        savanna biome	A savanna biome is a woodland biome which has seasonal water availability and includes, across its entire spatial extent, trees spaced sufficiently far apart to allow an unbroken layer of grass, sedge (Cyperaceae) or  rush (Juncaceae) communities to live.
ENVO:01000187	            subtropical savanna biome	subtropical savanna biome
ENVO:01000229	                mediterranean savanna biome	A savanna biome which is subject to mediterranean climate patterns.
ENVO:01000188	            tropical savanna biome	tropical savanna biome
ENVO:01000189	            temperate savanna biome	temperate savanna biome
ENVO:01000190	            flooded savanna biome	A flooded savanna biome is a savanna biome which has very wet to saturated soil moisture content.
ENVO:01000223	            montane savanna biome	A montane savanna biome is a savanna biome which occurs in regions elevated above sea level and which has community structure determined by elevation-dependent environmental conditions.
ENVO:01000220	        tropical woodland biome	tropical woodland biome
ENVO:01000221	        temperate woodland biome	temperate woodland biome
ENVO:01000222	        subtropical woodland biome	A woodland biome which is subject to subtropical climate patterns.
ENVO:01000208	            mediterranean woodland biome	A subtropical woodland biome which includes communities adapted to hot to warm, dry summers, mild to cold, rainy winters, and the influence of large, usually marine, bodies of water.
ENVO:01000176	    shrubland biome	A shrubland biome is a terrestrial biome which includes, across its entire spatial extent, dense groups of shrubs.
ENVO:01000213	        subtropical shrubland biome	A shrubland biome which is subject to subtropical climate patterns.
ENVO:01000217	            mediterranean shrubland biome	A mediterranean shrubland biome is a subtropical shrubland biome which includes communities adapted to hot to warm, dry summers, mild to cold, rainy winters, and the influence of large, usually marine, bodies of water.
ENVO:01000214	        tropical shrubland biome	tropical shrubland biome
ENVO:01000215	        temperate shrubland biome	temperate shrubland biome
