ENVO:00000134,permafrost
ENVO:03000088,    methane-laden permafrost
ENVO:00000194,scree
ENVO:00001998,soil
ENVO:00002229,    arenosol
ENVO:00002230,    anthrosol
ENVO:00002231,    alisol
ENVO:00002232,    andosol
ENVO:00002233,    albeluvisol
ENVO:00002235,    cambisol
ENVO:00002236,    cryosol
ENVO:00002237,    chernozem
ENVO:00002238,    durisol
ENVO:00002239,    calcisol
ENVO:00002240,    kastanozem
ENVO:00002241,    leptosol
ENVO:00002242,    lixisol
ENVO:00002243,    histosol
ENVO:00002244,    gleysol
ENVO:00002245,    gypsisol
ENVO:00002246,    ferralsol
ENVO:00002247,    nitisol
ENVO:00002248,    luvisol
ENVO:00002249,    phaeozem
ENVO:00002007,sediment
ENVO:00000546,    lake sediment
ENVO:00002147,        coal mine lake sediment
ENVO:00002209,        saline lake sediment
ENVO:00002045,    anaerobic sediment
ENVO:00002134,        anaerobic stream sediment
ENVO:01000135,        nitrate-reducing sediment
ENVO:01000151,        manganese-reducing sediment
ENVO:01000152,        iron-reducing sediment
ENVO:01000153,        sulphate-reducing sediment
ENVO:01000154,        carbon dioxide-reducing sediment
ENVO:00002114,    contaminated sediment
ENVO:00002154,        radioactive sediment
ENVO:00002155,            high-level radioactive sediment
ENVO:00002202,        organically contaminated sediment
ENVO:00002180,            naphthalene contaminated sediment
ENVO:00002115,                petroleum contaminated sediment
ENVO:00002182,            nitrobenzene contaminated sediment
ENVO:00002201,            cis-dichloroethane contaminated sediment
ENVO:00002203,        inorganically contaminated sediment
ENVO:00002127,    stream sediment
ENVO:00002134,        anaerobic stream sediment
ENVO:00002179,    intertidal sediment
ENVO:01000070,    terrigenous sediment
ENVO:01000082,    biogenous sediment
ENVO:02000044,        siliceous ooze
ENVO:02000045,        red clay
ENVO:02000046,        calcareous ooze
ENVO:01000110,    hydrogenous sediment
ENVO:01000112,        polymetallic nodule
ENVO:01000111,    cosmogenous sediment
ENVO:01000113,    suspended sediment
ENVO:01000114,    boulder sediment
ENVO:01000115,    cobble sediment
ENVO:01000116,    pebble sediment
ENVO:01000117,    granular sediment
ENVO:01000118,    sandy sediment
ENVO:01000119,    silty sediment
ENVO:01000120,    clay sediment
ENVO:01000121,    colloidal sediment
ENVO:01000131,    mesophilic sediment
ENVO:01000132,    thermophilic sediment
ENVO:00002191,animal litter
ENVO:00002192,    poultry litter
ENVO:00003908,        poultry deep litter
ENVO:00002264,waste material
ENVO:00002001,    waste water
ENVO:00002018,        sewage
ENVO:00002193,        pulp-bleaching waste water
ENVO:01000964,        industrial wastewater
ENVO:00002267,    industrial waste material
ENVO:00002206,        coal mine waste material
ENVO:00002207,            self-heating coal mine waste material
ENVO:00002872,    bagasse
ENVO:01000371,    agricultural waste material
ENVO:00002266,        chicken breeding waste material
ENVO:01000372,    household waste material
ENVO:01000373,    biological waste material
ENVO:00002873,        organic waste material
ENVO:00002276,            animal waste material
ENVO:02000022,    excreta material
ENVO:00002003,        fecal material
ENVO:00002047,        urine material
ENVO:02000025,        sweat material
ENVO:00002982,clay
ENVO:01001396,    abyssal clay
ENVO:00003031,animal manure
ENVO:00003032,    fresh animal manure
ENVO:00003859,    horse manure
ENVO:00003860,    pig manure
ENVO:00003884,    farmyard manure
ENVO:00003927,    stable manure
ENVO:01001116,    bovine dairy liquid manure
ENVO:01001117,    poultry manure
ENVO:01001118,    heat-treated animal manure
ENVO:01001119,    composted animal manure
ENVO:02000084,    goat manure
ENVO:00003930,scum
ENVO:00005794,    water scum
ENVO:00005738,foam
ENVO:00005739,    sea foam
ENVO:00010505,aerosol
ENVO:01000838,    smoke
ENVO:01001088,    aerosolised liquids
ENVO:01000844,        fog
ENVO:01000842,            smog
ENVO:01001258,            vog
ENVO:01001458,        mist
ENVO:01001089,    aerosolised solids
ENVO:01000405,        respirable suspended particulate matter
ENVO:01000415,            fine respirable suspended particulate matter
ENVO:01000416,                ultrafine respirable suspended particulate matter
ENVO:01001402,        haze
ENVO:00010506,emulsion
ENVO:0010001,anthropogenic environmental material
ENVO:00000003,    mine tailing
ENVO:00002044,    sludge
ENVO:00002046,        activated sludge
ENVO:00002057,        raw primary sludge
ENVO:00002058,        secondary sludge
ENVO:00002059,        biosolids
ENVO:00002129,        anaerobic sludge
ENVO:00003965,            anaerobic digester sludge
ENVO:00002176,        contaminated sludge
ENVO:00002060,            oil sludge
ENVO:00002177,"            1,4-dioxane contaminated sludge"
ENVO:00002212,        thermophilic granular sludge
ENVO:00005796,        marine sludge
ENVO:00002870,    adobe
ENVO:00003076,    glue
ENVO:0010003,    agricultural environmental material
ENVO:00002170,        compost
ENVO:00002171,            hay compost
ENVO:00003033,            mushroom compost
ENVO:00002869,        hay
ENVO:00003030,        silage
ENVO:00003071,            grass silage
ENVO:00003900,                rye grass silage
ENVO:00003978,            potato silage
ENVO:00003869,        straw
ENVO:00003870,            rice straw
ENVO:01000473,        thatch
ENVO:01001113,        forage material
ENVO:02000053,        hide
ENVO:01000404,    plastic
ENVO:01000458,    concrete
ENVO:01000459,        asphalt concrete
ENVO:01000461,    refined asphalt
ENVO:01000462,    masonry cement
ENVO:01000463,        hydraulic cement
ENVO:01000464,        non-hydraulic cement
ENVO:01000474,    brick material
ENVO:01000476,    plaster
ENVO:01000477,        gypsum plaster
ENVO:01000478,        cement plaster
ENVO:01000479,        lime plaster
ENVO:02000043,    biological product
ENVO:02000123,    paint
ENVO:02000124,        lead paint
ENVO:01000001,mud
ENVO:00002122,    arsenic-rich mud
ENVO:00002133,    anaerobic mud
ENVO:00002160,    estuarine mud
ENVO:00005795,    marine mud
ENVO:00005797,    lake bottom mud
ENVO:01000016,silt
ENVO:01000017,sand
ENVO:00002118,    sea sand
ENVO:00002138,    beach sand
ENVO:00002148,        coarse beach sand
ENVO:00005798,    acid dune sand
ENVO:00005799,    rocky sand
ENVO:00005800,    desert sand
ENVO:01000350,    autoclaved sand
ENVO:01000018,gravel
ENVO:01000060,particulate matter
ENVO:00002008,    dust
ENVO:01001282,        silica dust
ENVO:01001283,        aluminium dust
ENVO:01001284,        barium dust
ENVO:01001285,        talc dust
ENVO:01001286,        slate dust
ENVO:01001288,        kaolin dust
ENVO:02000099,        coal dust
ENVO:02000100,        mineral dust
ENVO:02000101,        fibrous dust
ENVO:02000102,            fibrous glass dust
ENVO:02000106,            asbestos dust
ENVO:02000103,        metallic dust
ENVO:02000104,        cement dust
ENVO:02000105,        clay dust
ENVO:02000109,        dust from plant parts
ENVO:02000107,            grain dust
ENVO:02000108,            cotton dust
ENVO:01000436,    waterborne particulate matter
ENVO:03000021,    soot
ENVO:03000038,    cryoconite deposit
ENVO:01000155,organic material
ENVO:00002040,    wood
ENVO:00002135,        treated wood
ENVO:00002136,            arsenate treated wood
ENVO:01000000,    humus
ENVO:01000063,    planktonic material
ENVO:01000156,    biofilm material
ENVO:01000157,    microbial mat material
ENVO:01000349,    root matter
ENVO:01000560,    charcoal
ENVO:2000007,        biochar
ENVO:01000628,    plant litter
ENVO:01001103,    detritus
ENVO:01000158,        marine snow
ENVO:01001121,    plant matter
ENVO:01001189,    algal material
ENVO:01001231,    kerogen
ENVO:01001232,        sapropelic kerogen
ENVO:01001233,        labile kerogen
ENVO:01001234,        recalcitrant kerogen
ENVO:01001235,        planktonic kerogen
ENVO:01001236,            sulfrous kerogen
ENVO:01001237,        humic kerogen
ENVO:01001238,        residual kerogen
ENVO:01001391,    gill tissue material
ENVO:01001392,        mussel gill tissue material
ENVO:01001393,            Bathymodiolus gill tissue material
ENVO:01001395,    necromass
ENVO:02000019,    bodily fluid material
ENVO:00000338,        vomit material
ENVO:02000020,        blood material
ENVO:02000021,        amniotic fluid material
ENVO:02000022,        excreta material
ENVO:00002003,            fecal material
ENVO:00002047,            urine material
ENVO:02000025,            sweat material
ENVO:02000023,        bile material
ENVO:02000024,        aqueous humour material
ENVO:02000026,        chyme material
ENVO:02000027,        blood plasma material
ENVO:02000028,        ear wax material
ENVO:02000029,        cerebrospinal fluid material
ENVO:02000030,        chyle material
ENVO:02000031,        breast milk material
ENVO:02000032,        vitreous humor material
ENVO:02000033,        pleural effusion material
ENVO:02000034,        tear material
ENVO:02000035,        oronasal secretion material
ENVO:02000036,        saliva material
ENVO:02000037,        sebum material
ENVO:02000038,        pus material
ENVO:02000039,        synovial fluid material
ENVO:1000746,    marine mucilage
ENVO:01000231,lava
ENVO:01000232,    felsic lava
ENVO:01000233,    intermediate lava
ENVO:01000234,    mafic lava
ENVO:01000235,    ultramafic lava
ENVO:01000444,    dacitic lava
